Generic Name,Trade Name,Date Designated,Orphan Designation,Orphan Designation Status,Date Designation Withdrawn or Revoked,FDA Orphan Approval Status,Approved Labeled Indication,Marketing Approval Date,Exclusivity End Date,"Exclusivity Protected Indication * (Shown for approvals from Jan. 1, 2013, to the present)",Sponsor Company,Sponsor Address 1,Sponsor Address 2,Sponsor City,Sponsor State,Sponsor Zip,Sponsor Country,CF Grid Key,Simplified_Indication
pembrolizumab,Keytruda,6/12/17,Treatment of hepatocellular carcinoma (HCC),Designated/Approved,,,KEYTRUDA is indicated for the treatment of patients with hepatocellular carcinoma (HCC) who have been previously treated with sorafenib,11/9/18,11/9/25,KEYTRUDA is indicated for the treatment of patients with hepatocellular carcinoma (HCC) who have been previously treated with sorafenib,Merck Sharp & Dohme LLC,126 East Lincoln Ave.,P.O. Box 2000,Rahway,New Jersey,07065 ',United States,576917,KEYTRUDA is For patients with hepatocellular carcinoma (HCC) who have been previously treated with sorafenib
pembrolizumab,Keytruda,10/3/17,Treatment of Small Cell Lung Cancer,Designated/Approved,,,KEYTRUDA is indicated for the treatment of patients with metastatic small cell lung cancer (SCLC) with disease progression on or after platinum-based chemotherapy and at least one other prior line of therapy. (Indication withdrawn),6/17/19,3/30/21,Indicated for the treatment of patients with metastatic small cell lung cancer (SCLC) with disease progression on or after platinum-based chemotherapy and at least one other prior line of therapy. (Indication withdrawn),"Merck Sharp & Dohme, LLC",126 East Lincoln Ave.,P.O. Box 2000,Rahway,New Jersey,07065 ',United States,605417,KEYTRUDA is For patients with metastatic small cell lung cancer (SCLC) with disease progression on or after platinum-based chemotherapy and at least one other prior line of therapy. (Indication withdrawn)
pembrolizumab,Keytruda,6/15/17,Treatment of esophageal carcinoma,Designated/Approved,,,"KEYTRUDA is indicated for the treatment of patients with recurrent locally advanced or metastatic squamous cell carcinoma of the esophagus whose tumors express PD-L1 (CPS =10) as determined by an FDA-approved test, with disease progression after one or more prior lines of systemic therapy.",7/30/19,7/30/26,"Indicated for the treatment of patients with recurrent locally advanced or metastatic squamous cell carcinoma of the esophagus whose tumors express PD-L1 (Combined Positive Score [CPS] =10) as determined by an FDA-approved test, with disease progression after one or more prior lines of systemic therapy.","Merck Sharp & Dohme, LLC",126 East Lincoln Ave.,P.O. Box 2000,Rahway,New Jersey,07065 ',United States,578717,"KEYTRUDA is For patients with recurrent locally advanced or metastatic squamous cell carcinoma of the esophagus whose tumors express PD-L1 (CPS =10) as determined by an FDA-approved test, with disease progression after one or more prior lines of systemic therapy."
pembrolizumab,Keytruda,12/28/16,Treatment of Merkel cell carcinoma,Designated/Approved,,,KEYTRUDA is indicated for the treatment of adult and pediatric patients with recurrent locally advanced or metastatic Merkel cell carcinoma,12/19/18,12/19/25,KEYTRUDA is indicated for the treatment of adult and pediatric patients with recurrent locally advanced or metastatic Merkel cell carcinoma,Merck Sharp & Dohme LLC,126 East Lincoln Ave.,P.O. Box 2000,Rahway,New Jersey,07065 ',United States,548216,KEYTRUDA is For adult and pediatric patients with recurrent locally advanced or metastatic Merkel cell carcinoma
pembrolizumab,Keytruda,1/14/16,Treatment of primary mediastinal B cell lymphoma.,Designated/Approved,,,"KEYTRUDA is indicated for the treatment of adult and pediatric patients with refractory primary mediastinal large B-cell lymphoma (PMBCL), or who have relapsed after 2 or more prior lines of therapy",6/13/18,6/13/25,"KEYTRUDA is indicated for the treatment of adult and pediatric patients with refractory primary mediastinal large B-cell lymphoma (PMBCL), or who have relapsed after 2 or more prior lines of therapy",Merck Sharp & Dohme LLC,126 East Lincoln Ave.,P.O. Box 2000,Rahway,New Jersey,07065 ',United States,495415,"KEYTRUDA is For adult and pediatric patients with refractory primary mediastinal large B-cell lymphoma (PMBCL), or who have relapsed after 2 or more prior lines of therapy"
pembrolizumab,Keytruda,11/19/12,Treatment of Stage IIB through IV malignant melanoma,Designated/Approved,,,"adjuvant treatment of adult and pediatric (12 years and older) patients with Stage IIB, IIC, or III melanoma following complete resection",12/3/21,12/3/28,"adjuvant treatment of adult and pediatric (12 years and older) patients with Stage IIB or IIC melanoma following complete resection, and adjuvant treatment of pediatric (12 years and older) patients with Stage III melanoma following complete resection",Merck Sharp & Dohme LLC,126 East Lincoln Ave.,P.O. Box 2000,Rahway,New Jersey,07065 ',United States,381012,"adjuvant For adult and pediatric (12 years and older) patients with Stage IIB, IIC, or III melanoma following complete resection"
pembrolizumab,Keytruda,6/15/17,Treatment of esophageal carcinoma,Designated/Approved,,,"treatment of patients with locally advanced or metastatic esophageal or gastroesophageal junction (GEJ) (tumors with epicenter 1 to 5 centimeters above the GEJ) carcinoma that is not amenable to surgical resection or definitive chemoradiation, in combination with platinum- and fluoropyrimidine-based chemotherapy",3/22/21,3/22/28,"treatment of patients with locally advanced or metastatic esophageal or gastroesophageal junction (GEJ) (tumors with epicenter 1 to 5 centimeters above the GEJ) carcinoma that is not amenable to surgical resection or definitive chemoradiation, excluding patients covered by Keytrudas previously approved indication for esophageal cancer","Merck Sharp & Dohme, LLC",126 East Lincoln Ave.,P.O. Box 2000,Rahway,New Jersey,07065 ',United States,578717,"For patients with locally advanced or metastatic esophageal or gastroesophageal junction (GEJ) (tumors with epicenter 1 to 5 centimeters above the GEJ) carcinoma that is not amenable to surgical resection or definitive chemoradiation, In combination with platinum- and fluoropyrimidine-based chemotherapy"
pembrolizumab,Keytruda,11/19/12,Treatment of Stage IIB through IV malignant melanoma,Designated/Approved,,,KEYTRUDA is indicated for the adjuvant treatment of patients with melanoma with involvement of lymph node(s) following complete resection.,2/15/19,2/15/26,KEYTRUDA is indicated for the adjuvant treatment of patients with melanoma with involvement of lymph node(s) following complete resection.,Merck Sharp & Dohme LLC,126 East Lincoln Ave.,P.O. Box 2000,Rahway,New Jersey,07065 ',United States,381012,KEYTRUDA is For the adjuvant For patients with melanoma with involvement of lymph node(s) following complete resection.
pembrolizumab,Keytruda,11/19/12,Treatment of Stage IIB through IV malignant melanoma,Designated/Approved,,,Treatment of patients with unresectable or metastatic melanoma.,12/18/15,12/18/22,Initial treatment of patients with unresectable or metastatic melanoma,Merck Sharp & Dohme LLC,126 East Lincoln Ave.,P.O. Box 2000,Rahway,New Jersey,07065 ',United States,381012,For patients with unresectable or metastatic melanoma.
pembrolizumab,Keytruda,11/19/12,Treatment of Stage IIB through IV malignant melanoma,Designated/Approved,,,"Treatment of patients with unresectable or metastatic melanoma and disease progression following ipilimumab and, if BRAF V600 mutation positive, a BRAF inhibitor.",9/4/14,9/4/21,,Merck Sharp & Dohme LLC,126 East Lincoln Ave.,P.O. Box 2000,Rahway,New Jersey,07065 ',United States,381012,"For patients with unresectable or metastatic melanoma and disease progression following ipilimumab and, if BRAF V600 mutation positive, a BRAF inhibitor."
pembrolizumab,Keytruda,6/16/15,"Treatment of gastric cancer, including gastroesophageal junction adenocarcinoma",Designated/Approved,,,"in combination with trastuzumab, fluoropyrimidine- and platinum-containing chemotherapy, for the first-line treatment of patients with locally advanced unresectable or metastatic HER2-positive gastric or gastroesophageal junction (GEJ) adenocarcinoma",5/5/21,5/5/28,"for the first-line treatment of patients with locally advanced unresectable or metastatic HER2-positive gastric or gastroesophageal junction (GEJ) adenocarcinoma, excluding patients covered by Keytruda's previous indication for gastric or GEJ adenocarcinoma approved on September 22, 2017",Merck Sharp & Dohme LLC,126 East Lincoln Ave.,P.O. Box 2000,Rahway,New Jersey,07065 ',United States,481715,"In combination with trastuzumab, fluoropyrimidine- and platinum-containing chemotherapy, for the first-line For patients with locally advanced unresectable or metastatic HER2-positive gastric or gastroesophageal junction (GEJ) adenocarcinoma"
pembrolizumab,Keytruda,6/16/15,"Treatment of gastric cancer, including gastroesophageal junction adenocarcinoma",Designated/Approved,,,"KEYTRUDA is indicated for the treatment of patients with recurrent locally advanced or metastatic gastric or gastroesophageal junction adenocarcinoma whose tumors express PD-L1 [Combined Positive Score (CPS) =1] as determined by an FDA-approved test, with disease progression on or after two or more prior lines of therapy including fluoropyrimidine- and platinum-containing chemotherapy and if appropriate, HER2/neu-targeted therapy (Indication withdrawn)",9/22/17,2/4/22,"Treatment of patients with recurrent locally advanced or metastatic gastric or gastroesophageal junction adenocarcinoma whose tumors express PD-L1 [Combined Positive Score (CPS) >or =1] as determined by an FDA-approved test, with disease progression on or after two or more prior lines of therapy including fluoropyrimidine- and platinum-containing chemotherapy and if appropriate, HER2/neu targeted therapy excluding microsatellite instability-high or mismatch repair deficient gastric or gastroesophageal adenocarcinomas that have progressed and have no satisfactory alternative treatment options (Indication withdrawn)",Merck Sharp & Dohme LLC,126 East Lincoln Ave.,P.O. Box 2000,Rahway,New Jersey,07065 ',United States,481715,"KEYTRUDA is For patients with recurrent locally advanced or metastatic gastric or gastroesophageal junction adenocarcinoma whose tumors express PD-L1 [Combined Positive Score (CPS) =1] as determined by an FDA-approved test, with disease progression on or after two or more prior lines of therapy including fluoropyrimidine- and platinum-containing chemotherapy and if appropriate, HER2/neu-targeted therapy (Indication withdrawn)"
pemetrexed disodium,Alimta,8/28/01,Treatment of malignant pleural mesothelioma,Designated/Approved,,,Treatment of patients with malignant pleural mesothelioma whose disease is either unresectable or who are otherwise not candidates for curative surgery,2/4/04,2/4/11,,Eli Lilly and Company,Lilly Corporate Center,,Indianapolis,Indiana,46285 ',United States,145101,For patients with malignant pleural mesothelioma whose disease is either unresectable or who are otherwise not candidates for curative surgery
Pemigatinib,PEMAZYRE,3/12/18,Treatment of cholangiocarcinoma,Designated/Approved,,,"PEMAZYRE is indicated for the treatment of adults with previously treated, unresectable locally advanced or metastatic cholangiocarcinoma with a fibroblast growth factor receptor 2 (FGFR2) fusion or other rearrangement as detected by an FDA-approved test",4/17/20,4/17/27,"For the treatment of adults with previously treated, unresectable locally advanced or metastatic cholangiocarcinoma with a fibroblast growth factor receptor 2 (FGFR2) fusion or other rearrangement as detected by an FDA-approved test.",Incyte Corporation,1801 Augustine Cut-Off,,Wilmington,Delaware,19803 ',United States,624117,"PEMAZYRE is For adults with previously treated, unresectable locally advanced or metastatic cholangiocarcinoma with a fibroblast growth factor receptor 2 (FGFR2) fusion or other rearrangement as detected by an FDA-approved test"
pemigatinib,Pemazyre,8/21/19,"Treatment of myeloid/lymphoid neoplasms with eosinophilia and rearrangement of PDGFRA, PDGFRB, or FGFR1, or with PCM1-JAK2",Designated/Approved,,,Treatment of adults with relapsed or refractory myeloid/lymphoid neoplasms (MLNs) with fibroblast growth factor receptor 1 (FGFR1) rearrangement,8/26/22,8/26/29,Treatment of adults with relapsed or refractory myeloid/lymphoid neoplasms (MLNs) with fibroblast growth factor receptor 1 (FGFR1) rearrangement,Incyte Corporation,1801 Augustine Cut-Off,,Wilmington,Delaware,19803 ',United States,696419,For adults with relapsed or refractory myeloid/lymphoid neoplasms (MLNs) with fibroblast growth factor receptor 1 (FGFR1) rearrangement
Penpulimab,,2/23/21,Treatment of nasopharyngeal carcinoma,Designated/Approved,,,"in combination with either cisplatin or carboplatin and gemcitabine, for the first-line treatment of adults with recurrent or metastatic non-keratinizing nasopharyngeal carcinoma (NPC); and as a single agent, for the treatment of adults with metastatic non-keratinizing NPC and disease progression on or after platinum-based chemotherapy and at least one other prior line of therapy",4/23/25,,,"Akeso Biopharma, Inc.","6 Shennong Road, Torch Development Zone",,Zhongshan,Guangdong,528437 ',China,802020,"In combination with either cisplatin or carboplatin and gemcitabine, for the first-line For adults with recurrent or metastatic non-keratinizing nasopharyngeal carcinoma (NPC); and as a single agent, For adults with metastatic non-keratinizing NPC and disease progression on or after platinum-based chemotherapy and at least one other prior line of therapy"
Pentamidine isethionate,Nebupent,1/12/88,Prevention of Pneumocystis carinii pneumonia in patients at high risk of developing this disease.,Designated/Approved,,,,6/15/89,6/15/96,,"Fujisawa USA, Inc.",3 Parkway North Center,,Deerfield,Illinois,60015 ',United States,25887,
Pentamidine isethionate,Pentam 300,2/28/84,Treatment of Pneumocystis carinii pneumonia.,Designated/Approved,,,,10/16/84,10/16/91,,"Fujisawa USA, Inc.",3 Parkway North Center,,Deerfield,Illinois,60015 ',United States,1083,
Pentastarch,Pentaspan,8/28/85,As an adjunct in leukapheresis to improve the harvesting and increase the yield of leukocytes by centrifugal means.,Designated/Approved,,,,5/19/87,5/19/94,,DuPont Pharmaceuticals,E.I. Du Pont De Nemours & Co.,,Wilmington,Delaware,19880 ',United States,8085,
Pentosan polysulfate sodium,Elmiron,8/7/85,Treatment of interstitial cystitis.,Designated/Approved,,,Relief of bladder pain or discomfort associated with interstitial cystitis.,9/26/96,9/26/03,,Alza Corporation,950 Page Mill Rd.,PO Box 10950,Palo Alto,California,94303 ',United States,1784,Relief of bladder pain or discomfort associated with interstitial cystitis.
pentostatin for injection,Nipent,9/10/87,Treatment of hairy cell leukemia,Designated/Approved,,,Single agent treatment for adult patients with alpha-interferon-refractory hairy cell leukemia.,10/11/91,10/11/98,,"SuperGen, Inc.",4140 Dublin Blvd.,Suite 200,Dublin,California,94568 ',United States,21287,Single agent treatment for adult patients with alpha-interferon-refractory hairy cell leukemia.
pexidartinib,TURALIO,2/14/14,Treatment of pigmented villonodular synovitis/giant cell tumor of the tendon sheath,Designated/Approved,,,TURALIO is indicated for the treatment of adult patients with symptomatic tenosynovial giant cell tumor (TGCT) associated with severe morbidity or functional limitations and not amenable to improvement with surgery.,8/2/19,8/2/26,For the treatment of adult patients with symptomatic tenosynovial giant cell tumor (TGCT) associated with severe morbidity or functional limitations and not amenable to improvement with surgery,"Daiichi Sankyo, Inc.",211 Mount Airy Road,,Basking Ridge,New Jersey,07920 ',United States,419913,TURALIO is For adult patients with symptomatic tenosynovial giant cell tumor (TGCT) associated with severe morbidity or functional limitations and not amenable to improvement with surgery.
phenobarbital sodium,Sezaby,10/2/19,Treatment of neonatal seizures,Designated/Approved,,,treatment of neonatal seizures in term and preterm infants,11/17/22,11/17/29,treatment of neonatal seizures in term and preterm infants,"Sun Pharmaceutical Industries, Inc.",2 Independence Way,,Princeton,New Jersey,08540 ',United States,703819,For neonatal seizures in term and preterm infants
phoxillum,,2/14/14,For use as a replacement solution in patients undergoing continuous renal replacement therapy,Designated/Approved,,,As a replacement solution in Continuous Renal Replacement Therapy (CRRT) and in case of drug poisoning when CRRT is used to remove dialzable substances,1/13/15,1/13/22,As a replacement solution in Continuous Renal Replacement Therapy (CRRT) and in case of drug poisoning when CRRT is used to remove dialzable substances,"Gambro Renal Products, Inc.",1845 Mason Avenue,,Daytona Beach,Florida,32117 ',United States,382012,As a replacement solution in Continuous Renal Replacement Therapy (CRRT) and in case of drug poisoning when CRRT is used to remove dialzable substances
Pilocarpine,Salagen,9/24/90,Treatment of xerostomia induced by radiation therapy for head and neck cancer.,Designated/Approved,,,Treatment of symptoms of xerostomia from salivary gland hypofunction caused by radiotherapy for cancer of the head and neck.,3/22/94,3/22/01,,"MGI Pharma, Inc.",5775 West Old Shakoppe Rd.,Suite 100,Bloomington,Minnesota,55437 ',United States,45990,For symptoms of xerostomia from salivary gland hypofunction caused by radiotherapy for cancer of the head and neck.
Pilocarpine HCl,Salagen,2/28/92,Treatment of xerostomia and keratoconjunctivitis sicca in Sjogren's syndrome patients.,Designated/Approved,,,Treatment of dry mouth in patients with Sjogren's syndrome.,2/11/98,2/11/05,,"MGI Pharma, Inc.",5775 West Old Shakoppe Rd.,Suite 100,Bloomington,Minnesota,55437 ',United States,62091,For dry mouth in patients with Sjogren's syndrome.
pirfenidone,ESBRIET,3/5/04,Treatment of idiopathic pulmonary fibrosis,Designated/Approved,,,Treatment of idiopathic pulmonary fibrosis,10/15/14,10/15/21,Treatment of idiopathic pulmonary fibrosis,Genentech,1 DNA Way,,South San Francisco,California,94080 ',United States,177903,For idiopathic pulmonary fibrosis
pirtobrutinib,Jaypirca,8/28/20,Treatment of mantle cell lymphoma,Designated/Approved,,,"treatment of adult patients with relapsed or refractory mantle cell lymphoma (MCL) after at least two lines of systemic therapy, including a BTK inhibitor",1/27/23,1/27/30,"treatment of adult patients with relapsed or refractory mantle cell lymphoma (MCL) after at least two lines of systemic therapy, including a BTK inhibitor","Loxo Oncology, Inc.","201 Haskins Way, Suite 400",,South San Francisco,California,94080 ',United States,758120,"For adult patients with relapsed or refractory mantle cell lymphoma (MCL) after at least two lines of systemic therapy, including a BTK inhibitor"
pirtobrutinib,Jaypirca,9/14/20,Treatment of chronic lymphocytic leukemia/small lymphocytic lymphoma,Designated/Approved,,,"treatment of adult patients with chronic lymphocytic leukemia or small lymphocytic lymphoma (CLL/SLL) who have received at least two prior lines of therapy, including a BTK inhibitor and a BCL-2 inhibitor",12/1/23,12/1/30,"treatment of adult patients with chronic lymphocytic leukemia or small lymphocytic lymphoma (CLL/SLL) who have received at least two prior lines of therapy, including a BTK inhibitor and a BCL-2 inhibitor","Loxo Oncology, Inc., a wholly owned subsidiary of Eli Lilly and Company",701 Gateway Boulevard,Suite 420,South San Francisco,California,94080 ',United States,763420,"For adult patients with chronic lymphocytic leukemia or small lymphocytic lymphoma (CLL/SLL) who have received at least two prior lines of therapy, including a BTK inhibitor and a BCL-2 inhibitor"
pitolisant,WAKIX,5/17/10,Treatment of narcolepsy,Designated/Approved,,,treatment of excessive daytime sleepiness (EDS) or cataplexy in adult patients with narcolepsy,10/13/20,10/13/27,treatment of cataplexy in adult patients with narcolepsy,"Harmony Biosciences Management, Inc.",630 W. Germantown Pike,Suite 215,Plymouth Meeting,Pennsylvania,19462 ',United States,307210,For excessive daytime sleepiness (EDS) or cataplexy in adult patients with narcolepsy
Pitolisant,WAKIX,5/17/10,Treatment of narcolepsy,Designated/Approved,,,WAKIX is indicated for the treatment of excessive daytime sleepiness (EDS) in adult patients with narcolepsy,8/14/19,8/14/26,For the treatment of excessive daytime sleepiness (EDS) in adult patients with narcolepsy,"Harmony Biosciences Management, Inc.",630 W. Germantown Pike,Suite 215,Plymouth Meeting,Pennsylvania,19462 ',United States,307210,WAKIX is For excessive daytime sleepiness (EDS) in adult patients with narcolepsy
pitolisant,Wakix,5/17/10,Treatment of narcolepsy,Designated/Approved,,,treatment of excessive daytime sleepiness (EDS) or cataplexy in adult patients with narcolepsy and treatment of EDS in pediatric patients 6 years of age and older with narcolepsy,6/21/24,6/21/31,treatment of excessive daytime sleepiness (EDS) in pediatric patients 6 years of age and older with narcolepsy,"Harmony Biosciences Management, Inc.",630 W. Germantown Pike,Suite 215,Plymouth Meeting,Pennsylvania,19462 ',United States,307210,For excessive daytime sleepiness (EDS) or cataplexy in adult patients with narcolepsy and For EDS in pediatric patients 6 years of age and older with narcolepsy
"plasminogen, human-tvmh",Ryplazim,3/5/13,"Treatment of hypoplasminogenemia, or type I plasminogen deficiency",Designated/Approved,,,Treatment of patients with plasminogen deficiency type 1 (hypoplasminogenemia).,6/4/21,6/4/28,Treatment of patients with plasminogen deficiency type 1 (hypoplasminogenemia),"ProMetic BioTherapeutics, Inc.",1330 Piccard Drive,Suite 201,Rockville,Maryland,20850 ',United States,389112,For patients with plasminogen deficiency type 1 (hypoplasminogenemia).
plerixafor,Mozobil (r),7/10/03,For use to improve the yield of progentor cells in the apheresis product for subsequest stem cell transplantation following myelosuppressive or myeloablative chemotherapy,Designated/Approved,,,To enhance mobilization of hematopoietic stem cells to the peripheral blood for collection and subsequent autologous transplantation in patients with lymphoma and multiple myeloma,12/15/08,12/15/15,,Genzyme Corporation,500 Kendall Street,,Cambridge,Massachusetts,02142 ',United States,167903,To enhance mobilization of hematopoietic stem cells to the peripheral blood for collection and subsequent autologous transplantation in patients with lymphoma and multiple myeloma
polatuzumab vedotin-piiq,POLIVY,12/12/16,Treatment of diffuse large B-cell lymphoma,Designated/Approved,,,"POLIVY in combination with bendamustine and a rituximab product is indicated for the treatment of adult patients with relapsed or refractory diffuse large B-cell lymphoma (DLBCL), not otherwise specified, after at least two prior therapies.",6/10/19,6/10/26,"In combination with bendamustine and a rituximab product for the treatment of adult patients with relapsed or refractory diffuse large B-cell lymphoma (DLBCL), not otherwise specified, after at least two prior therapies.","Genentech, Inc.",1 DNA Way,MS# 40?N8?5,South San Francisco,California,94080-4990 ',United States,547416,"POLIVY In combination with bendamustine and a rituximab product is For adult patients with relapsed or refractory diffuse large B-cell lymphoma (DLBCL), not otherwise specified, after at least two prior therapies."
polatuzumab vedotin-piiq,Polivy,12/12/16,Treatment of diffuse large B-cell lymphoma,Designated/Approved,,,"in combination with a rituximab product, cyclophosphamide, doxorubicin, and prednisone (R-CHP) for the treatment of adult patients who have previously untreated diffuse large B-cell lymphoma (DLBCL), not otherwise specified (NOS) or high-grade B-cell lymphoma (HGBL) and who have an International Prognostic Index score of 2 or greater",4/19/23,4/19/30,"treatment of adult patients who have previously untreated diffuse large B-cell lymphoma (DLBCL), not otherwise specified (NOS) and who have an International Prognostic Index score of 2 or greater","Genentech, Inc.",1 DNA Way,MS# 40?N8?5,South San Francisco,California,94080-4990 ',United States,547416,"In combination with a rituximab product, cyclophosphamide, doxorubicin, and prednisone (R-CHP) For adult patients who have previously untreated diffuse large B-cell lymphoma (DLBCL), not otherwise specified (NOS) or high-grade B-cell lymphoma (HGBL) and who have an International Prognostic Index score of 2 or greater"
polifeprosan 20 with carmustine,Gliadel,12/13/89,Treatment of malignant glioma.,Designated/Approved,,,Expanding the indication to include patients with malignant glioma undergoing primary surgical resection.,2/25/03,2/25/10,,"Guilford Pharmaceuticals, Inc.",6611 Tributary Street,,Baltimore,Maryland,21224 ',United States,37089,Expanding the indication to include patients with malignant glioma undergoing primary surgical resection.
polifeprosan 20 with carmustine,Gliadel,12/13/89,Treatment of malignant glioma.,Designated/Approved,,,As an adjunct to surgery to prolong survival in patients with recurrent glioblastoma multiforme for whom surgical resection is indicated,9/23/96,9/23/03,,"Guilford Pharmaceuticals, Inc.",6611 Tributary Street,,Baltimore,Maryland,21224 ',United States,37089,As an adjunct to surgery to prolong survival in patients with recurrent glioblastoma multiforme for whom surgical resection is indicated
pomalidomide,POMALYST,4/4/18,Treatment of Kaposi sarcoma,Designated/Approved,,,POMALYST (pomalidomide) is indicated for the treatment of adult patients with AIDS-related Kaposi sarcoma (KS) after failure of highly active antiretroviral therapy (HAART); and for the treatment of Kaposi sarcoma (KS) in adult patients who are HIV-negative.,5/14/20,5/14/27,Indicated for the treatment of adult patients with AIDS-related Kaposi sarcoma (KS) after failure of highly active antiretroviral therapy (HAART); and for the treatment of Kaposi sarcoma (KS) in adult patients who are HIV-negative.,Celgene Corporation,86 Morris Avenue,,Summit,New Jersey,07901 ',United States,635818,POMALYST (pomalidomide) is For adult patients with AIDS-related Kaposi sarcoma (KS) after failure of highly active antiretroviral therapy (HAART); and For Kaposi sarcoma (KS) in adult patients who are HIV-negative.
pomalidomide,Pomalyst,1/15/03,Treatment of multiple myeloma,Designated/Approved,,,Treatment of patients with multiple myeloma who have received at least two prior therapies including lenalidomide and bortezomib and have demonstrated disease progression on or within 60 days of completion of the last therapy.,2/8/13,2/8/20,Treatment of patients with multiple myeloma who have received at least two prior therapies including lenalidomide and bortezomib and have demonstrated disease progression on or within 60 days of completion of the last therapy.,Celgene Corporation,86 Morris Avenue,,Summit,New Jersey,07901 ',United States,161402,For patients with multiple myeloma who have received at least two prior therapies including lenalidomide and bortezomib and have demonstrated disease progression on or within 60 days of completion of the last therapy.
ponatinib,Iclusig,11/20/09,Treatment of chronic myeloid leukemia,Designated/Approved,,,"Treatment of adult patients with chronic phase, accelerated phase, or blast phase chronic myeloid leukemia (CML) that is resistant or intolerant to prior tyrosine kinase inhibitor therapy.",12/14/12,12/14/19,,"Takeda Pharmaceuticals U.S.A., Inc.",500 Kendall Street,,Cambridge,Massachusetts,02142 ',United States,294709,"For adult patients with chronic phase, accelerated phase, or blast phase chronic myeloid leukemia (CML) that is resistant or intolerant to prior tyrosine kinase inhibitor therapy."
ponatinib,Iclusig,11/20/09,Treatment of Philadelphia chromosome-positive acute lymphoblastic leukemia (Ph+ALL),Designated/Approved,,,Treatment of adult patients with Philadelphia chromosome positive acute lymphoblastic leukemia (Ph+ALL) that is resistant or intolerant to prior tyrosine kinase inhibitor therapy.,12/14/12,12/14/19,,"Takeda Pharmaceuticals U.S.A., Inc.",500 Kendall Street,,Cambridge,Massachusetts,02142 ',United States,294809,For adult patients with Philadelphia chromosome positive acute lymphoblastic leukemia (Ph+ALL) that is resistant or intolerant to prior tyrosine kinase inhibitor therapy.
ponatinib,Iclusig,11/20/09,Treatment of Philadelphia chromosome-positive acute lymphoblastic leukemia (Ph+ALL),Designated/Approved,,,treatment of adult patients with newly diagnosed Philadelphia chromosome-positive acute lymphoblastic leukemia (Ph+ ALL) in combination with chemotherapy,3/19/24,3/19/31,treatment of adult patients with newly diagnosed Philadelphia chromosome-positive acute lymphoblastic leukemia (Ph+ ALL),"Takeda Pharmaceuticals U.S.A., Inc.",500 Kendall Street,,Cambridge,Massachusetts,02142 ',United States,294809,For adult patients with newly diagnosed Philadelphia chromosome-positive acute lymphoblastic leukemia (Ph+ ALL) In combination with chemotherapy
porfimer,Photofrin,10/19/01,For the ablation of High-Grade Dysplasia in Barrett's Esophagus in patients who are not considered to be candidates for esophagectomy,Designated/Approved,,,For the ablation of high-grade dysplasia in Barrett's esophagus patients who do not undergo esophagectomy,8/1/03,8/1/10,,Axcan Scandipharm Inc.,22 Inverness Parkway,Suite 310,Birmingham,Alabama,35242 ',United States,146601,For the ablation of high-grade dysplasia in Barrett's esophagus patients who do not undergo esophagectomy
Porfimer sodium,Photofrin,6/6/89,For the photodynamic therapy of patients with primary or recurrent obstructing (either partially or completely) esophageal carcinoma.,Designated/Approved,,,"Photodynamic therapy with PHOTOFRIN for the palliation of patients with completely obstructing esophageal cancer, or of patients with partially obstructing esophageal cancer who cannot be satisfactorily treated with Nd:YAG laser therapy.",12/27/95,12/27/02,,"QLT Phototherapeutics, Inc.",Lederle Laboratories,401 North Middletown Road,Pearl River,New York,10965 ',United States,35589,"Photodynamic therapy with PHOTOFRIN for the palliation of patients with completely obstructing esophageal cancer, or of patients with partially obstructing esophageal cancer who cannot be satisfactorily treated with Nd:YAG laser therapy."
posaconazole,Noxafil,10/4/16,Treatment of invasive aspergillosis,Designated/Approved,,,Treatment of invasive aspergillosis in adults and pediatric patients 13 years of age and older,6/17/21,6/17/28,Treatment of invasive aspergillosis in adults and pediatric patients 13 years of age and older,Merck Sharp & Dohme LLC,126 East Lincoln Ave.,P.O. Box 2000,Rahway,New Jersey,07065 ',United States,539016,For invasive aspergillosis in adults and pediatric patients 13 years of age and older
Potassium citrate,Urocit-K,11/1/84,1. Prevention of calcium renal stones in patients with hypocitraturia 2. For avoidance of the complication of calcium stone formation in patients with uric lithiasis.,Designated/Approved,,,Prevention of recurring calcium conating stines associated with a deficiency in the urine.,8/7/85,8/7/92,,University of Texas Health Science Center at Dallas,5323 Harry Hines Blvd,,Dallas,Texas,75235 ',United States,9685,Prevention of recurring calcium conating stines associated with a deficiency in the urine.
Potassium citrate,Urocit-K,11/1/84,Prevention of uric acid nephrolithiasis.,Designated/Approved,,,,8/30/85,8/30/92,,University of Texas Health Science Center at Dallas,5323 Harry Hines Blvd,,Dallas,Texas,75235 ',United States,2784,
Potassium Iodide Oral Solution,ThyroShield,11/17/04,For use as a thyroid blocking agent in pediatric patients exposed to radiactive iodine,Designated/Approved,,,For use as a thyroid blocking agent in pediatric patients exposed to radiactive iodine,1/12/05,,,"Fleming & Company, Pharmaceuticals",1733 Gilsinn Lane,,Fenton,Missouri,63026 ',United States,190304,For use as a thyroid blocking agent in pediatric patients exposed to radiactive iodine
